"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 17일","7,890.25","7,864.00","7,897.50","7,828.00","147.54K","0.43%"
"2019년 09월 16일","7,856.50","7,856.75","7,873.25","7,776.25","199.32K","-0.37%"
"2019년 09월 13일","7,886.00","7,916.25","7,958.50","7,881.75","243.85K","-0.45%"
"2019년 09월 12일","7,921.50","7,893.25","7,982.75","7,886.75","448.98K","0.40%"
"2019년 09월 11일","7,889.75","7,818.50","7,905.00","7,786.50","383.87K","0.96%"
"2019년 09월 10일","7,815.00","7,834.00","7,857.75","7,744.25","446.53K","-0.20%"
"2019년 09월 09일","7,830.75","7,857.00","7,887.00","7,798.50","372.95K","-0.34%"
"2019년 09월 06일","7,857.75","7,853.50","7,895.00","7,838.25","356.48K","0.03%"
"2019년 09월 05일","7,855.50","7,722.00","7,886.75","7,717.25","478.41K","1.72%"
"2019년 09월 04일","7,722.75","7,614.25","7,730.00","7,608.50","399.67K","1.38%"
"2019년 09월 03일","7,617.50","7,628.25","7,695.50","7,580.75","643.04K","-0.10%"
"2019년 09월 02일","7,625.00","7,630.62","7,695.25","7,587.88","-","-0.07%"
"2019년 09월 01일","7,630.25","7,676.38","7,676.38","7,593.00","-","-0.79%"
"2019년 08월 30일","7,690.75","7,704.25","7,770.50","7,646.00","450.75K","-0.28%"
"2019년 08월 29일","7,712.00","7,582.25","7,730.25","7,548.50","447.67K","1.48%"
"2019년 08월 28일","7,599.25","7,564.00","7,605.75","7,504.25","480.98K","0.48%"
"2019년 08월 27일","7,562.75","7,591.50","7,648.50","7,537.00","520.97K","-0.37%"
"2019년 08월 26일","7,590.50","7,435.00","7,626.00","7,353.25","617.91K","1.15%"
"2019년 08월 23일","7,504.50","7,705.75","7,762.00","7,447.75","763.86K","-2.68%"
"2019년 08월 22일","7,711.25","7,756.00","7,782.25","7,654.00","487.62K","-0.50%"
"2019년 08월 21일","7,750.25","7,655.00","7,765.75","7,652.25","344.35K","1.07%"
"2019년 08월 20일","7,668.00","7,717.25","7,752.00","7,655.50","414.18K","-0.77%"
"2019년 08월 19일","7,727.50","7,617.25","7,750.00","7,616.00","401.48K","1.52%"
"2019년 08월 16일","7,611.75","7,509.25","7,632.50","7,502.50","449.47K","1.54%"
"2019년 08월 15일","7,496.25","7,469.00","7,572.75","7,388.25","705.04K","0.10%"
"2019년 08월 14일","7,488.75","7,746.50","7,767.50","7,477.00","825.23K","-3.35%"
"2019년 08월 13일","7,748.00","7,570.25","7,789.50","7,514.00","674.98K","2.40%"
"2019년 08월 12일","7,566.75","7,654.50","7,710.00","7,534.75","552.72K","-1.22%"
"2019년 08월 09일","7,660.25","7,699.50","7,724.00","7,596.75","619.04K","-0.98%"
"2019년 08월 08일","7,735.75","7,553.50","7,738.50","7,526.00","553.67K","2.42%"
"2019년 08월 07일","7,553.25","7,512.75","7,577.50","7,387.50","851.28K","0.50%"
"2019년 08월 06일","7,515.50","7,349.00","7,549.00","7,224.50","845.24K","1.76%"
"2019년 08월 05일","7,385.25","7,701.75","7,705.50","7,359.75","848.40K","-4.12%"
"2019년 08월 02일","7,702.25","7,797.00","7,806.00","7,650.25","736.45K","-1.36%"
"2019년 08월 01일","7,808.25","7,834.00","8,014.50","7,776.75","772.96K","-0.74%"
